"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 11 14:55:49 GMT 2024","Thu Apr 11 14:56:07 GMT 2024","17919","chromium","TS_01 - Verify navigation bar on the main page.spec.js","","","","TS_01 - Verify navigation bar on the main page",""
"passed","Thu Apr 11 14:55:49 GMT 2024","Thu Apr 11 14:56:00 GMT 2024","11500","chromium","TS_03 - Verify download page and links.spec.js","","","","TS_03 - Verify download page",""
"passed","Thu Apr 11 14:55:49 GMT 2024","Thu Apr 11 14:55:57 GMT 2024","7771","chromium","TS_04 - Registartion with valid data and only filled necessary fields.spec.js","","","","TS_04 - Registartion with valid data and only filled necessary fields",""
"passed","Thu Apr 11 14:55:49 GMT 2024","Thu Apr 11 14:55:56 GMT 2024","7230","chromium","TS_02 - Verify search field with Search titles only option.spec.js","","","","TS_02 - Verify download page and links",""
"passed","Thu Apr 11 14:55:49 GMT 2024","Thu Apr 11 14:55:56 GMT 2024","6780","chromium","TS_05 - Authorization with valid data with not activated email.spec.js","","","","TS_05 -  Authorization with valid data with not activated email",""
